Publication Number,DWPIManualCodes
US10049388B2,T01-H07A
US10049388B2,T01-J05A2A
US10049388B2,T01-N02A3C
US10049388B2,T01-S03
US10049388B2,W01-A06B8E
US10049388B2,W01-A06C4
US9866998B2,T01-E01C
US9866998B2,T01-M06S
US9866998B2,T01-N01A2D
US9866998B2,T01-N02A3C
US9866998B2,W01-A06C4
US10529004B2,T01-N01A2
US10529004B2,W01-A06C4
US10321264B2,T01-N01A2D
US10321264B2,T01-N01C
US10321264B2,T01-N01D2
US10321264B2,W01-A06C4
US10321264B2,W01-C01D3C
US10321264B2,W01-C01G6C
US10321264B2,W01-C02B7L
US10321264B2,W01-C05B5C
US9456309B2,T01-N02A3C
US9456309B2,T01-S03
US9456309B2,W01-A06C4
US9456309B2,W01-C01D3C
US9456309B2,W01-C01G8S
US9456309B2,W01-C01R
WO2016109077A3,T01-N02A3C
WO2016109077A3,T01-S03
WO2016109077A3,W01-A06C4
WO2016109077A3,W01-C01D3C
WO2016109077A3,W01-C01G8S
WO2016109077A3,W01-C01R
WO2016109077A2,T01-N02A3C
WO2016109077A2,T01-S03
WO2016109077A2,W01-A06C4
WO2016109077A2,W01-C01D3C
WO2016109077A2,W01-C01G8S
WO2016109077A2,W01-C01R
US9799053B2,T01-F05B2
US9799053B2,T01-M06S
US9799053B2,T01-N01A
US9799053B2,T01-N02A3C
US9799053B2,T01-S03
US9799053B2,W01-A06C4
US9799053B2,W01-C01D3C
US9799053B2,W01-C01G8S
US10504103B2,T01-N01A1
US10504103B2,T01-N01D1B
US10504103B2,T01-N01D3
US10504103B2,T01-N02A1B
US10504103B2,T01-N02A2A
US10504103B2,T01-N02A2B
US10504103B2,T01-N02A3
US10504103B2,T01-N02B1C
US10504103B2,T01-S03
US10504103B2,W01-A06B5A
US10504103B2,W01-A06B5B
US10504103B2,W01-A06B7E
US10504103B2,W01-A06C4A
US10504103B2,W01-A06C4E
US10504103B2,W01-C01A5
US10504103B2,W01-C01D3C
US10504103B2,W01-C01G8S
US10504103B2,W01-C01R
US10235512B2,T01-J07D1
US10235512B2,T01-J12C
US10235512B2,T01-N02A3C
US10235512B2,T01-N02B1B
US10235512B2,T01-N02B2
US10235512B2,T01-S03
US10235512B2,W01-A07H2A
US10235512B2,W01-C01D3C
US10235512B2,W01-C01G8S
US10235512B2,W01-C01R
US10135830B2,S05-D01C5A
US10135830B2,T01-F05G
US10135830B2,T01-J04B2
US10135830B2,T01-J16B
US10135830B2,T01-N02A3C
US10135830B2,T01-N02B1E
US10135830B2,T01-S03
US10148664B2,T01-F05G
US10148664B2,T01-H07A
US10148664B2,T01-J05B4P
US10148664B2,T01-J16B
US10148664B2,T01-N02A3C
US10148664B2,T01-S03
US10595201B2,T01-C03C
US10595201B2,T01-C08A
US10595201B2,T01-D01
US10595201B2,T01-N01D3
US10595201B2,T01-N02A3
US10595201B2,T01-S03
US10595201B2,W01-A05A1
US10595201B2,W01-A06C4
US10595201B2,W01-C02B7D
US10595201B2,W01-C02B9
US10327142B2,T01-C03C
US10327142B2,T01-C08A
US10327142B2,T01-D01
US10327142B2,T01-N01D3
US10327142B2,T01-N02A3
US10327142B2,T01-S03
US10327142B2,W01-A05A1
US10327142B2,W01-A06C4
US10327142B2,W01-C02B7D
US10327142B2,W01-C02B9
US9860751B2,T01-C03C
US9860751B2,T01-C08A
US9860751B2,T01-D01
US9860751B2,T01-N01D3
US9860751B2,T01-N02A3
US9860751B2,T01-S03
US9860751B2,W01-A05A1
US9860751B2,W01-A06C4
US9860751B2,W01-C02B7D
US9860751B2,W01-C02B9
US9858566B2,T01-C03C
US9858566B2,T01-C08A
US9858566B2,T01-D01
US9858566B2,T01-N01D3
US9858566B2,T01-N02A3
US9858566B2,T01-S03
US9858566B2,W01-A05A1
US9858566B2,W01-A06C4
US9858566B2,W01-C02B7D
US9858566B2,W01-C02B9
US9852418B2,T01-C03C
US9852418B2,T01-C08A
US9852418B2,T01-D01
US9852418B2,T01-N01D3
US9852418B2,T01-N02A3
US9852418B2,T01-S03
US9852418B2,W01-A05A1
US9852418B2,W01-A06C4
US9852418B2,W01-C02B7D
US9852418B2,W01-C02B9
US9537839B2,T01-C03C
US9537839B2,T01-C08A
US9537839B2,T01-D01
US9537839B2,T01-N01D3
US9537839B2,T01-N02A3
US9537839B2,T01-S03
US9537839B2,W01-A05A1
US9537839B2,W01-A06C4
US9537839B2,W01-C02B7D
US9537839B2,W01-C02B9
US10397772B2,T01-F04
US10397772B2,T01-N01A
US10397772B2,T01-N01D3
US10397772B2,T01-N02A2C
US10397772B2,W01-A06C4
US10397772B2,W01-C01D3C
US10397772B2,W01-E01C5
US9277394B2,T01-F04
US9277394B2,T01-J05A1
US9277394B2,T01-J05B4P
US9277394B2,T01-N01A
US9277394B2,W01-A06C4
US9277394B2,W01-C01D3C
US9277394B2,W01-E01C
US9536407B2,T01-G11B
US9536407B2,T01-J05B4P
US9536407B2,T01-N02B2B
US9536407B2,T01-S03
US9536407B2,W01-A06C4
US9536407B2,W05-B07
WO2016109100A1,T01-G11B
WO2016109100A1,T01-J05B4P
WO2016109100A1,T01-N02B2B
WO2016109100A1,T01-S03
WO2016109100A1,W01-A06C4
WO2016109100A1,W05-B07
US10360562B2,T01-F03B
US10360562B2,T01-F04
US10360562B2,T01-F05B2
US10360562B2,T01-F05G
US10360562B2,T01-J12C
US10360562B2,T01-N01A1
US10360562B2,T01-N01D2
US10360562B2,T01-N02A1
US10360562B2,T01-N02B1B
US10360562B2,T01-N02B1E
US10360562B2,T01-N03B1
US10360562B2,T01-S03
US10360562B2,W01-A06C4
US10360562B2,W01-A06F
US10242366B2,T01-F03B
US10242366B2,T01-F04
US10242366B2,T01-J05A
US10242366B2,T01-J12C
US10242366B2,T01-N01A1
US10242366B2,T01-N02B1B
US10242366B2,T01-S03
US10242366B2,W01-A07G
US10242366B2,W01-C01D3C
US10242366B2,W01-C01G8A
US10242366B2,W01-C01G8S
US10448228B2,W01-A06C4
US10448228B2,W01-C01D3C
US10448228B2,W01-C01G8S
EP3240713A4,P31-A05
EP3240713A4,S05-D01
EP3240713A4,T01-J05B4P
EP3240713A4,T01-J07D3A
EP3240713A4,T01-N01E
EP3240713A4,T01-N02A3
EP3240713A4,T01-N02B1B
EP3240713A4,T01-N02B2
EP3240713A4,T01-S03
EP3240713A4,W01-A06C4
EP3240713A1,P31-A05
EP3240713A1,S05-D01
EP3240713A1,T01-J05B4P
EP3240713A1,T01-J07D3A
EP3240713A1,T01-N01E
EP3240713A1,T01-N02A3
EP3240713A1,T01-N02B1B
EP3240713A1,T01-N02B2
EP3240713A1,T01-S03
EP3240713A1,W01-A06C4
US9586596B2,P31-A05
US9586596B2,S05-D01
US9586596B2,T01-J05B4P
US9586596B2,T01-J07D3A
US9586596B2,T01-N01E
US9586596B2,T01-N02A3
US9586596B2,T01-N02B1B
US9586596B2,T01-N02B2
US9586596B2,T01-S03
US9586596B2,W01-A06C4
WO2016109078A1,P31-A05
WO2016109078A1,S05-D01
WO2016109078A1,T01-J05B4P
WO2016109078A1,T01-J07D3A
WO2016109078A1,T01-N01E
WO2016109078A1,T01-N02A3
WO2016109078A1,T01-N02B1B
WO2016109078A1,T01-N02B2
WO2016109078A1,T01-S03
WO2016109078A1,W01-A06C4
US9432838B2,T01-C03C
US9432838B2,T01-F07
US9432838B2,T01-N01D
US9432838B2,T01-N02B1G
US9432838B2,T01-N03B1
US9432838B2,T01-S03
US9432838B2,T04-K03A
US9432838B2,W01-A06C4
US9432838B2,W01-A07G
US9432838B2,W01-C01D3C
US9432838B2,W01-C01G6C
US9432838B2,W01-C01G8
WO2019212998A1,T01-J12B1
WO2019212998A1,T01-N01A1
WO2019212998A1,T01-N03A2
WO2019212998A1,T01-S03
WO2019212998A1,W01-A06C4
WO2019212998A1,W01-C01P7
WO2019212998A1,W01-C02B7L
US10327098B1,T01-J12B1
US10327098B1,T01-N01A1
US10327098B1,T01-N03A2
US10327098B1,T01-S03
US10327098B1,W01-A06C4
US10327098B1,W01-C01P7
US10327098B1,W01-C02B7L
US9743261B2,T01-N01D3
US9743261B2,T01-N02A1A
US9743261B2,W01-A06C4
US9743261B2,W01-A06F
US9743261B2,W01-C01D3C
US9743261B2,W01-C01G8S
US10231098B2,T01-N01D3
US10231098B2,T01-N02A3
US10231098B2,T01-S03
US10231098B2,W01-A06C4
US10231098B2,W01-A06F
US10231098B2,W01-C01D3C
US10231098B2,W01-C01G8S
US10231098B2,W06-A03A
US9723461B2,T01-N01A2D
US9723461B2,T01-N03A1
US9723461B2,T01-N03A2
US9723461B2,T01-S03
US9723461B2,W01-A06C4
US10542384B1,T01-F03A
US10542384B1,T01-J05B3
US10542384B1,T01-J05B4M
US10542384B1,T01-N01A1
US10542384B1,T01-N02A3
US10542384B1,T01-S03
US10542384B1,W01-A06C4
US10318968B2,T01-J05A
US10318968B2,T01-N01A
US10318968B2,T01-S03
US10318968B2,W01-A06C4
US10318968B2,W01-C01D3C
US10318968B2,W02-C03C1C
US10318968B2,W02-G03J1A
US10602307B2,T01-G11B
US10602307B2,T01-N01D3
US10602307B2,T01-S03
US10602307B2,W01-A06C4
US10602307B2,W01-C01D3C
US10602307B2,W01-C05B5C
US10602307B2,W05-B07
US10390186B2,T01-N01A
US10390186B2,T01-S03
US10390186B2,W01-A06C4
US10390186B2,W06-A01
EP3066852A4,T01-S03
EP3066852A4,W01-A06C4
EP3066852A1,T01-S03
EP3066852A1,W01-A06C4
US9215570B2,T01-S03
US9215570B2,W01-A06C4
WO2016099871A1,S05-B
WO2016099871A1,S05-G02G1
WO2016099871A1,T01-C03A
WO2016099871A1,T01-C03C
WO2016099871A1,T01-J05B4B
WO2016099871A1,T01-N01D2
WO2016099871A1,T01-N01E1
WO2016099871A1,T01-N02A1
WO2016099871A1,T01-N02A3C
WO2016099871A1,T01-N02B1B
WO2016099871A1,T01-N02B2
WO2016099871A1,T01-S03
WO2016099871A1,W01-A06C4
EP3039889A4,T01-N01A
EP3039889A4,T01-N02A3
EP3039889A4,T01-N02B1B
EP3039889A4,T01-N02B2A
EP3039889A4,T01-N02B5
EP3039889A4,T01-N03A1
EP3039889A4,T01-S03
EP3039889A4,W01-C01D3C
EP3039889A4,W01-C01G8
EP3039889A4,W01-C01P2
EP3039889A2,T01-N01A
EP3039889A2,T01-N02A3
EP3039889A2,T01-N02B1B
EP3039889A2,T01-N02B2A
EP3039889A2,T01-N02B5
EP3039889A2,T01-N03A1
EP3039889A2,T01-S03
EP3039889A2,W01-C01D3C
EP3039889A2,W01-C01G8
EP3039889A2,W01-C01P2
US9363323B2,T01-N01A
US9363323B2,T01-N02A3
US9363323B2,T01-N02B1B
US9363323B2,T01-N02B2A
US9363323B2,T01-N02B5
US9363323B2,T01-N03A1
US9363323B2,T01-S03
US9363323B2,W01-C01D3C
US9363323B2,W01-C01G8
US9363323B2,W01-C01P2
US10243944B2,T01-N02B2
US9794243B2,T01-N02B2
EP3036654A4,T01-N02B2
EP3036654A1,T01-N02B2
US9160729B2,T01-N02B2
US9942691B2,T01-F05B2
US9942691B2,T01-J12B
US9942691B2,T01-N01A2D
US9942691B2,T01-N01B1
US9942691B2,T01-N01D1
US9942691B2,T01-N01D3
US9942691B2,T01-S03
US9942691B2,W01-A06C4
US9942691B2,W01-C01D3C
US9942691B2,W01-C01G6
US9942691B2,W01-C01G8A
US9942691B2,W01-C01G8S
US9942691B2,W04-X02
US9980302B2,T01-D01
US9980302B2,T01-N02A3C
US9980302B2,T01-S03
US9980302B2,W01-A05A1
US9980302B2,W01-A06C4
US9980302B2,W01-C01D3C
US9980302B2,W01-C01G8S
US9980302B2,W01-C01R
US9357268B2,T01-F05B2
US9357268B2,T01-J21
US9357268B2,T01-S03
US9357268B2,W02-F07M1
US9357268B2,W02-F10A
US9357268B2,W03-A11M
US9357268B2,W04-J03
US9866907B2,T01-S03
US9866907B2,W02-F10E3
US9866907B2,W02-F10J
US9866907B2,W02-F10Q5
US9866907B2,W03-A16C5A
US9866907B2,W03-A18A6
US9729915B2,T01-C03C
US9729915B2,T01-N02A3
US9729915B2,T01-S03
US9729915B2,W03-A16E
US9729915B2,W04-E30A1
US9729915B2,W04-E30C1
US10455268B2,T01-J12B
US10455268B2,T01-S03
US10455268B2,W01-A06E1A
US10455268B2,W02-F05B5
US10455268B2,W02-F10E3
US10455268B2,W02-F10J
US10455268B2,W02-F10Q5
US10455268B2,W03-A10G
US10455268B2,W03-A11G
US10455268B2,W03-A16C5
US9148685B2,T01-J04B2
US9148685B2,T01-J05B2C
US9148685B2,T01-S03
US9148685B2,W01-A06E1A
US9148685B2,W02-F07M1
US9148685B2,W02-F10J
US9148685B2,W03-A11G
US9886598B2,T01-J08F1
US9886598B2,T01-J10B2
US9886598B2,T01-J11E
US9886598B2,T01-J12C
US9886598B2,T01-N01E
US9886598B2,T01-N02A3C
US9886598B2,T01-N02B1B
US9886598B2,T01-N02B2
US9886598B2,T01-S03
US9886598B2,W03-A08E7A
WO2016109092A1,T01-J08F1
WO2016109092A1,T01-J10B2
WO2016109092A1,T01-J11E
WO2016109092A1,T01-J12C
WO2016109092A1,T01-N01E
WO2016109092A1,T01-N02A3C
WO2016109092A1,T01-N02B1B
WO2016109092A1,T01-N02B2
WO2016109092A1,T01-S03
WO2016109092A1,W03-A08E7A
US10019987B2,T01-J18
US10019987B2,T01-S03
US10019987B2,W04-G
US10019987B2,W04-V01
WO2016109083A1,T01-J18
WO2016109083A1,T01-S03
WO2016109083A1,W04-G
WO2016109083A1,W04-V01
US9980004B1,T01-J10B2
US9980004B1,T01-J11E
US9980004B1,T01-S03
US9980004B1,W02-F05A
US9980004B1,W03-A16C5
US9426422B2,W02-F08A1
WO2019232093A1,T01-C08A
WO2019232093A1,T01-J05B1
WO2019232093A1,T01-J10B2A
WO2019232093A1,T01-J14
WO2019232093A1,T01-J16C1
WO2019232093A1,T01-N01A2C
WO2019232093A1,T01-S03
WO2019232093A1,T05-L09
WO2019232093A1,W04-V04A
WO2019232093A1,W04-V05
US9936127B2,P82-A01
US9936127B2,P82-T
US9936127B2,T01-J10B2
US9936127B2,T01-J10B3B
US9936127B2,T01-J11E
US9936127B2,T01-S03
US9936127B2,W01-C01D3C
US9936127B2,W01-C01G8S
US9936127B2,W04-M01B1
US9936127B2,W04-M01D
US10425593B2,T01-J10B1
US10425593B2,T01-J10E
US10425593B2,T01-J12
US10425593B2,T01-J30F
US10425593B2,T01-N01D2
US10425593B2,T01-N01D3
US10425593B2,T01-S03
US10425593B2,W04-M01D
US9167136B2,T01-F04
US9167136B2,T01-F05E
US9167136B2,T01-J10B2
US9167136B2,T01-J10E
US9167136B2,T01-J30F
US9167136B2,T01-M06A1
US9167136B2,T01-N01D2
US9167136B2,T01-N01D4
US9167136B2,T01-N02A2
US9167136B2,T01-N02B1A
US9167136B2,T01-N02B2B
US9167136B2,T01-S03
US9167136B2,T04-F02A2
US9167136B2,W01-C01B8H
US9167136B2,W01-C01D3C
US9167136B2,W01-C01G8
US9167136B2,W01-C01P2
US9167136B2,W01-C01Q6A
US9167136B2,W04-J03C
US9167136B2,W04-M01B1
US9167136B2,W04-M01D3
US9641745B2,T01-F05E
US9641745B2,T01-J10B2
US9641745B2,T01-J20B1
US9641745B2,T01-J30F
US9641745B2,T01-M06A1
US9641745B2,T01-S03
US9641745B2,W04-H05
US9641745B2,W04-J03C
US9641745B2,W04-M01B1
US9641745B2,W04-M01D3
US10244566B2,T01-J08A
US10244566B2,T01-S03
US10244566B2,W01-A06C4
US10244566B2,W01-C01D3C
US10244566B2,W01-C01G8S
US10244566B2,W01-C01R
US9769324B2,W01-C02G3B
US9769324B2,W01-C02G5B
US9270832B2,S05-D01C5A
US9270832B2,T01-J05A1
US9270832B2,T01-S03
US9270832B2,W01-C02B6
US9270832B2,W01-C06E
US9270832B2,W01-C06G5
US9883319B2,T01-E01B
US9883319B2,T01-F02A
US9883319B2,T01-F02C4
US9883319B2,T01-F03
US9883319B2,T01-N01A1
US9883319B2,T01-N01C
US9883319B2,T01-N01D
US9883319B2,T01-S03
US9883319B2,W01-A06C4
US9305295B2,T01-C07C5
US9305295B2,T01-F05G
US9305295B2,T01-N01A1
US9305295B2,T01-N02B1B
US9305295B2,T01-N02B1E
US9305295B2,T01-N03A2
US9305295B2,T05-L01B
US9305295B2,T05-L01D
US9305295B2,W01-C01D3C
US9305295B2,W01-C01G8
US9305295B2,W01-C01P2
US9400978B2,T01-J05A1
US9400978B2,T05-L01B
US9400978B2,T05-L01D
EP2850572A4,T01-J05A1
EP2850572A4,T05-L01B
EP2850572A4,T05-L01D
EP2850572A1,T01-J05A1
EP2850572A1,T05-L01B
EP2850572A1,T05-L01D
WO2013173339A1,T01-J05A1
WO2013173339A1,T05-L01B
WO2013173339A1,T05-L01D
US10595192B2,T01-E01B
US10595192B2,T01-M06S
US10595192B2,T01-N01C
US10595192B2,T01-N02A3C
US10595192B2,W01-A06C4
EP3042494A4,T01-C03A
EP3042494A4,T01-C03C
EP3042494A4,T01-N01D2
EP3042494A4,T01-N01D3
EP3042494A4,T01-S03
EP3042494A4,W01-A05B
EP3042494A4,W01-A06C4A
EP3042494A4,W01-C05B5G
US9445220B2,T01-C03A
US9445220B2,T01-C03C
US9445220B2,T01-N01D2
US9445220B2,T01-N01D3
US9445220B2,T01-S03
US9445220B2,W01-A05B
US9445220B2,W01-A06C4A
US9445220B2,W01-C05B5G
EP3042494A1,T01-C03A
EP3042494A1,T01-C03C
EP3042494A1,T01-N01D2
EP3042494A1,T01-N01D3
EP3042494A1,T01-S03
EP3042494A1,W01-A05B
EP3042494A1,W01-A06C4A
EP3042494A1,W01-C05B5G
EP2556477A4,T01-N01A1
EP2556477A4,T01-N02A3
EP2556477A4,T01-N02B1B
EP2556477A4,T01-N02B1E
EP2556477A4,T05-D01A
EP2556477A4,T05-L01D
EP2556477A4,W01-C01D3C
EP2556477A4,W04-M01D3
US8380177B2,T01-N01A1
US8380177B2,T01-N02A3
US8380177B2,T01-N02B1B
US8380177B2,T01-N02B1E
US8380177B2,T05-D01A
US8380177B2,T05-L01D
US8380177B2,W01-C01D3C
US8380177B2,W04-M01D3
EP2556477A2,T01-N01A1
EP2556477A2,T01-N02A3
EP2556477A2,T01-N02B1B
EP2556477A2,T01-N02B1E
EP2556477A2,T05-D01A
EP2556477A2,T05-L01D
EP2556477A2,W01-C01D3C
EP2556477A2,W04-M01D3
WO2011127354A3,T01-N01A1
WO2011127354A3,T01-N02A3
WO2011127354A3,T01-N02B1B
WO2011127354A3,T01-N02B1E
WO2011127354A3,T05-D01A
WO2011127354A3,T05-L01D
WO2011127354A3,W01-C01D3C
WO2011127354A3,W04-M01D3
WO2011127354A2,T01-N01A1
WO2011127354A2,T01-N02A3
WO2011127354A2,T01-N02B1B
WO2011127354A2,T01-N02B1E
WO2011127354A2,T05-D01A
WO2011127354A2,T05-L01D
WO2011127354A2,W01-C01D3C
WO2011127354A2,W04-M01D3
US9635167B2,T01-J05B4M
US9635167B2,T01-M06A1
US9635167B2,T01-S03
US9635167B2,W01-A06C4
US9635167B2,W01-C01D3C
US9635167B2,W01-C01G8S
US9609126B2,W01-A06C4
US9609126B2,W01-C01D3C
US9609126B2,W01-C01G8A
US9609126B2,W01-C01G8S
US9609126B2,W01-C01R
US9609126B2,W01-C02B9
US9609126B2,W03-A16C5G
US9609126B2,W03-A18A6
US10102514B2,T01-J05A1
US10102514B2,T01-J12C
US10102514B2,T01-S03
US10102514B2,T05-L01B
US10102514B2,T05-L01D
US10320980B2,T01-C08A
US10320980B2,T01-G08
US10320980B2,T01-J10B2A
US10320980B2,T01-J12B
US10320980B2,T01-N01B2
US10320980B2,T01-S03
US10320980B2,W01-A06C4
US10320980B2,W01-C02B9
US10115088B2,T01-J05A1
US10115088B2,T01-J12B1
US10115088B2,T01-S03
US10122843B2,T01-J05B4M
US10122843B2,T01-J11E
US10122843B2,T01-M06A1
US10122843B2,T01-S03
US10122843B2,W01-A06C4
US10122843B2,W01-C01D3C
US10122843B2,W01-C01G8S
US10122843B2,W04-V01
US10122843B2,W04-V04A3
US10122843B2,W04-V05
US10264124B2,T01-F03A
US10264124B2,T01-J05B4P
US10264124B2,T01-N02A3
US10264124B2,T01-N02B1E
US10264124B2,T01-S03
US10264124B2,W01-A06A3
US10264124B2,W01-A06E1G
US10313522B2,T01-C08A
US10313522B2,T01-F03A
US10313522B2,T01-J05B4P
US10313522B2,T01-N01A
US10313522B2,T01-N01B1
US10313522B2,T01-N01D2
US10313522B2,T01-N01D3
US10313522B2,T01-N02A3
US10313522B2,T01-N02B1G
US10313522B2,T01-S03
US10313522B2,W01-C02B9
US10560567B2,W01-A06C4
US10560567B2,W01-C01D3C
US10560567B2,W04-V01
US10560567B2,W04-V04A
US10560567B2,W04-V05
US10264115B1,T01-J07D3A
US10264115B1,T01-J18
US10264115B1,T01-S03
US10264115B1,W01-A06C4
US10264115B1,W01-C01D3C
US10264115B1,W01-C01G8S
US10264115B1,W02-C03C1E
EP3114828A4,T01-C02A
EP3114828A4,T01-C08A
EP3114828A4,T01-F04
EP3114828A4,T01-F05B2
EP3114828A4,T01-N01D2
EP3114828A4,T01-N01D3
EP3114828A4,T01-N02A3
EP3114828A4,T01-N03A1
EP3114828A4,T01-N03B1
EP3114828A4,T01-N03B3
EP3114828A4,T01-S03
EP3114828A1,T01-C02A
EP3114828A1,T01-C08A
EP3114828A1,T01-F04
EP3114828A1,T01-F05B2
EP3114828A1,T01-N01D2
EP3114828A1,T01-N01D3
EP3114828A1,T01-N02A3
EP3114828A1,T01-N03A1
EP3114828A1,T01-N03B1
EP3114828A1,T01-N03B3
EP3114828A1,T01-S03
US9288321B2,T01-C02A
US9288321B2,T01-C08A
US9288321B2,T01-F04
US9288321B2,T01-F05B2
US9288321B2,T01-N01D2
US9288321B2,T01-N01D3
US9288321B2,T01-N02A3
US9288321B2,T01-N03A1
US9288321B2,T01-N03B1
US9288321B2,T01-N03B3
US9288321B2,T01-S03
US9936070B2,W01-A06C4
US9936070B2,W01-C02B9
US10044869B2,W01-A06B5A
US10044869B2,W01-C01D3C
US10044869B2,W04-V01
US10044869B2,W04-V04A5
EP2932697B1,T01-J05A
EP2932697B1,T01-J12C
EP2932697B1,T01-M02
EP2932697B1,T01-N01A1
EP2932697B1,W01-C01A
EP2932697B1,W01-C01D3C
EP2932697B1,W01-C01D3D
US9703992B2,T01-J05A
US9703992B2,T01-J12C
US9703992B2,T01-M02
US9703992B2,T01-N01A1
US9703992B2,W01-C01A
US9703992B2,W01-C01D3C
US9703992B2,W01-C01D3D
EP2932697A1,T01-J05A
EP2932697A1,T01-J12C
EP2932697A1,T01-M02
EP2932697A1,T01-N01A1
EP2932697A1,W01-C01A
EP2932697A1,W01-C01D3C
EP2932697A1,W01-C01D3D
WO2014092615A1,T01-J05A
WO2014092615A1,T01-J12C
WO2014092615A1,T01-M02
WO2014092615A1,T01-N01A1
WO2014092615A1,W01-C01A
WO2014092615A1,W01-C01D3C
WO2014092615A1,W01-C01D3D
EP2932697A4,NA
US10372305B2,T01-C08A
US10372305B2,T01-J12B1
US10372305B2,T01-M06S
US10372305B2,T01-N01A1
US10372305B2,T01-N02A3C
US10372305B2,T01-N02B2A
US10372305B2,T01-S03
US9734331B2,T01-J05B2B
US9734331B2,T01-J05B4P
US9734331B2,T01-J12C
US9734331B2,T01-N01D2
US9734331B2,T01-N01D3
US9734331B2,T01-N02B1B
US9734331B2,T01-S03
US10122683B2,T01-N02A3B
US10122683B2,W01-A06E1
US8966088B2,T01-N02A3B
