"Publication Number";"Publication Year";"Earliest Priority Year";"Application Year";"DWPI Class";"Assignee/Applicant First";"Inventor - w/address";"Inventor - DWPI";"Inventor Count";"Publication Country Code";"Publication Kind Code";"Publication Date";"Estimated Remaining Life";"Dead/Alive";"Publication Month";"Application Date";"Application Month";"Priority Date";"Priority Month";"Priority Year(s)";"Related Applications";"IPC - Current - DWPI";"IPC Class - DWPI";"IPC Class Group - DWPI";"IPC Section - DWPI";"IPC Subclass - DWPI";"IPC Subgroup - DWPI";"CPC - Current - DWPI";"CPC - Current Primary - DWPI";"CPC - Original Primary - DWPI";"CPC Class - DWPI";"DWPI Manual Codes";"Cited Refs - Patent";"Count of Cited Refs - Patent";"Count of Cited Refs - Non-patent";"Citing Patents";"Count of Citing Patents";"Designated States";"Language of Publication";"DWPI Family Members Dead/Alive";"INPADOC Family ID";"Item Number";"Strategic Importance";"Probability of Grant";"Domain Influence";"Combined Patent Impact";"Probability of Early Lapse"
"EP2856407A1";2015;2012;2013;"T01 E |  W01 E";"PayPal Inc.,San Jose, CA 95131,US,101510611";"LARACEY Kevin,Natick, MA 01760,US";"LARACEY K";1;"EP";"A1";2015-04-08;"0 Years";"Dead";"04";2013-05-24;"05";"2012-05-24 | 2013-05-24";"05 | 05 | 05 | 05 | 01";"2012 | 2013 | 2019";NA;"G06Q002036";"G06";"G06Q0020";"G";"G06Q";"G06Q002036";"G06Q0020202 | G06Q002010 | G06Q002020 | G06Q0020322 | G06Q00203278 | G06Q00203552 | G06Q0020363 | G06Q002040 | G06Q00204014 | G06Q0020405 | G06Q003006";"G06Q0020202";"G06Q0020363";"G06";"T01-N01A1 | T01-N01C | W01-C01D3C | W01-C01G6C";"WO2011112752A1 | US20020026419A1";2;5;"US10193700B2";1;"EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LI;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR";"EN";"US20130317928A1 Dead | WO2013177548A1 Dead | AU2013266099A1 Dead | EP2856407A1 Dead | JP2015523640A Alive | EP2856407A4 Dead | JP06238971B2 Alive | AU2019200260A1 Indeterminate";"20131128US20130317928A1";5751;10;"1.59";21;194;NA
"WO2013177548A1";2013;2012;2013;"T01 E |  W01 E";"PAYDIANT INC.,US";"LARACEY Kevin,US";"LARACEY K";1;"WO";"A1";2013-11-28;NA;"Dead";"11";2013-05-24;"05";"2012-05-24";"05 | 05 | 05 | 01";"2012 | 2013 | 2019";NA;"G06Q002036";"G06";"G06Q0020";"G";"G06Q";"G06Q002036";"G06Q0020202 | G06Q002010 | G06Q002020 | G06Q0020322 | G06Q00203278 | G06Q00203552 | G06Q0020363 | G06Q002040 | G06Q00204014 | G06Q0020405 | G06Q003006";"G06Q0020202";"G06Q0020363";"G06";"T01-N01A1 | T01-N01C | W01-C01D3C | W01-C01G6C";"US20020026419A1 | US5739512A | US20060105742A1 | US20030004737A1 | KR2006084520A | US20080048022A1";6;1;"JP06178911B2 | JP06509798B2 | JP2017091551A | JP2017097874A | US10024682B2 | US10026094B2 | US10043185B2 | US10055634B2 | US10066959B2 | US10142835B2 | US10178234B2 | US10216351B2 | US10250735B2 | US10254911B2 | US10255595B2 | US10262182B2 | US10282727B2 | US10324590B2 | US10332079B2 | US10334054B2 | US10339293B2 | US10372963B2 | US10395128B2 | US10410035B2 | US10410076B2 | US10419933B2 | US10438205B2 | US10482461B2 | US10484384B2 | US10496808B2 | US10516997B2 | US10521579B2 | US10579225B2 | US10600068B2 | US10616416B2 | US10621581B2 | US9842330B1 | US9847999B2 | US9898642B2 | US9911123B2 | US9940637B2 | US9967401B2";42;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IS;JP;KE;KG;KM;KN;KP;KR;KZ;LA;LC;LK;LR;LS;LT;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20130317928A1 Dead | WO2013177548A1 Dead | AU2013266099A1 Dead | EP2856407A1 Dead | JP2015523640A Alive | EP2856407A4 Dead | JP06238971B2 Alive | AU2019200260A1 Indeterminate";"20131128US20130317928A1";5752;10;"0.69";1278;1099;NA
"US10257279B2";2019;2011;2015;"T01 E |  T05 E";"PAYPAL INC.,San Jose,CA,US";"Naaman Nadav,Palo Alto,CA,US";"NAAMAN N";1;"US";"B2";2019-04-09;"3985 Days , (10 Years, 10 Months)";"Alive";"04";2015-09-22;"09";"2011-03-30";"03 | 03 | 09 | 04";"2011 | 2015 | 2019";"US14861969A,2015-09-22 | US13076057A,2011-03-30";"G06F001516 | G06Q002036 | G06Q002040 | G06Q003000 | H04L002908";"G06, H04";"G06F0015, G06Q0020, G06Q0030, H04L0029";"G, H";"G06F, G06Q, H04L";"G06F001516, G06Q002036, G06Q002040, G06Q003000, H04L002908";"H04L0067125 | G06Q0020367 | G06Q0020407 | H04L0067303 | H04L006734";"H04L0067125";"H04L0067125";"H04, G06";"T01-F05B2 | T01-N01A | T01-N01D3 | T05-L02";"US20060282660A1 | US5315711A | US8117255B2 | US20100191612A1 | US20110173308A1 | US7123933B2 | US20100207721A1 | US20020183051A1 | US20040249919A1 | US20100191613A1 | US20070280152A1 | US20080155094A1 | US20100268581A1 | US20030046189A1 | US20020186845A1";15;1;NA;0;NA;"EN";"WO2012135386A1 Dead | US20120254290A1 Alive | US9154555B2 Alive | US20160014208A1 Alive | US10257279B2 Alive | US20190373061A1 Alive";"20121004US20120254290A1";576;277;"100.0";321;319;344
"US9154555B2";2015;2011;2011;"T01 E |  T05 E";"PAYPAL INC.,San Jose,CA,US";"Naaman Nadav,Palo Alto,CA,US";"NAAMAN N";1;"US";"B2";2015-10-06;"4241 Days , (11 Years, 7 Months)";"Alive";"10";2011-03-30;"03";"2011-03-30";"03 | 03 | 09 | 04";"2011 | 2015 | 2019";"US13076057A,2011-03-30";"G06F001516 | G06Q002036 | G06Q002040 | G06Q003000 | H04L002908";"G06, H04";"G06F0015, G06Q0020, G06Q0030, H04L0029";"G, H";"G06F, G06Q, H04L";"G06F001516, G06Q002036, G06Q002040, G06Q003000, H04L002908";"H04L0067125 | G06Q0020367 | G06Q0020407 | H04L0067303 | H04L006734";"H04L0067125";"H04L0067125";"H04, G06";"T01-F05B2 | T01-N01A | T01-N01D3 | T05-L02";"US20040249919A1 | US8117255B2 | US20110173308A1 | US20070280152A1 | US7123933B2 | US20030046189A1 | US20100191613A1 | US5315711A | US20100191612A1 | US20020186845A1 | US20100207721A1 | US20100268581A1";12;1;"US10057403B1 | US10101982B2 | US20140215453A1";3;NA;"EN";"WO2012135386A1 Dead | US20120254290A1 Alive | US9154555B2 Alive | US20160014208A1 Alive | US10257279B2 Alive | US20190373061A1 Alive";"20121004US20120254290A1";5761;277;"100.0";5804;4972;NA
"WO2018067364A1";2018;2016;2017;"T01 E |  W01 E";"PAYPAL INC.,US";"LARACEY Kevin,US";"LARACEY K";1;"WO";"A1";2018-04-12;NA;"Indeterminate";"04";2017-09-27;"09";"2016-10-06";"10 | 10";"2016";"US15287106A,2016-10-06";"G06Q002032 | G06Q002036 | G06Q002038 | G06Q002040 | H04W004024";"G06, H04";"G06Q0020, H04W0040";"G, H";"G06Q, H04W";"G06Q002032, G06Q002036, G06Q002038, G06Q002040, H04W004024";"G06Q0020325 | G06Q0020322 | G06Q00203224 | H04W0040244";"G06Q0020325";"G06Q0020325";"G06, H04";"T01-C03C | T01-J05A | T01-M06A1 | T01-N01A1 | T01-S03 | W01-A06C4 | W01-C01D3C | W01-C01G8S";"US20160012421A1 | US20160055538A1 | US20150134374A1 | US20160125458A1";4;0;NA;0;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JO;JP;KE;KG;KH;KN;KP;KR;KW;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20180101834A1 Indeterminate | WO2018067364A1 Indeterminate";"20180412US20180101834A1";577;277;"27.04";247;256;NA
"US10096021B2";2018;2011;2015;"T01 E";"PAYPAL INC.,San Jose,CA,US";"Scipioni German,San Jose,CA,US | Nguyen Loc,San Jose,CA,US";"NGUYEN L | SCIPIONI G";2;"US";"B2";2018-10-09;"5088 Days , (13 Years, 11 Months)";"Alive";"10";2015-03-27;"03";"2011-12-13 | 2012-12-13";"12 | 12 | 12 | 12 | 03";"2011 | 2012 | 2015";"US14671965A,2015-03-27 | US2011570184P,2011-12-13 | US13713986A,2012-12-13";"G06Q002034 | G06Q002036 | G06Q002038";"G06";"G06Q0020";"G";"G06Q";"G06Q002034, G06Q002036, G06Q002038";"G06Q002036 | G06Q0020342 | G06Q00203672 | G06Q0020387";"G06Q002036";"G06Q002036";"G06";"T01-N01A1 | T01-N01D3";"US20100314442A1 | US20080208742A1";2;0;NA;0;NA;"EN";"US20150206135A1 Alive | US10096021B2 Alive";"20130613US20130151360A1";578;277;"100.0";284;287;303
"WO2016175897A1";2016;2015;2015;"T01 E |  T05 E |  W01 E |  X27 E";"PAYPAL INC.,US";"BATLLE Eduardo Alfonso,US";"BATLLE E A";1;"WO";"A1";2016-11-03;NA;"Dead";"11";2015-12-01;"12";"2015-04-29";"04 | 04";"2015";"US14699980A,2015-04-29";"G06Q002034 | G06Q002040 | G06Q002042 | G06Q004000";"G06";"G06Q0020, G06Q0040";"G";"G06Q";"G06Q002034, G06Q002040, G06Q002042, G06Q004000";"G06Q0020409 | G06Q0020227 | G06Q0020351 | G06Q0020355 | G06Q0020405";"G06Q0020409";"G06Q0020409";"G06";"T01-F05B2 | T01-J05B4P | T01-J12C2 | T01-M06S | T01-N01A1 | T01-N02A3C | T01-N02B1B | T01-N02B2 | T05-L02 | T05-L03C5 | W01-C01D3C | W01-C01G8A | W01-C01G8S | X27-A03";"US20110251955A1 | US20110191196A1 | US20130018792A1 | US8498900B1 | US20140040129A1 | US20130124346A1 | US20030197058A1 | US20130332294A1 | JP03574750B2";9;0;"WO2018148358A1";1;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JP;KE;KG;KN;KP;KR;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20160321663A1 Indeterminate | WO2016175897A1 Dead";"20161103US20160321663A1";579;10;"0.51";321;287;NA
"US9361647B2";2016;2008;2014;"T01 E";"PayPal Inc.,San Jose,CA,US";"Vadhri Srinivas,Cupertino,CA,US";"VADHRI S";1;"US";"B2";2016-06-07;"3812 Days , (10 Years, 5 Months)";"Alive";"06";2014-06-28;"06";"2008-12-03 | 2012-06-11";"12 | 06 | 12 | 06 | 06";"2008 | 2012 | 2014";"US14318605A,2014-06-28 | US13493756A,2012-06-11 | US2008327665A,2008-12-03";"G06Q002034 | G06Q002036 | G06Q002038 | G06Q002040 | G06Q004000 | G06Q004002";"G06";"G06Q0020, G06Q0040";"G";"G06Q";"G06Q002034, G06Q002036, G06Q002038, G06Q002040, G06Q004000, G06Q004002";"G06Q0020405 | G06Q002034 | G06Q0020367 | G06Q0020385 | G06Q002040 | G06Q004000 | G06Q004002";"G06Q0020405";"G06Q004002";"G06";"T01-J17 | T01-N01A1 | T01-S03";"US6339766B1 | US7909243B2 | US8800865B2 | US20120116902A1 | US20120246070A1 | WO2008139282A1 | WO2001095204A1 | US20010047330A1 | US20110047074A1 | US20070114274A1 | US20080217396A1 | US8925805B2 | US20010034720A1 | US20070170247A1 | US20110047038A1 | US6636833B1 | US7793851B2 | US20100138347A1 | US8196813B2 | US20050154643A1 | US20090048971A1 | US7479949B2 | US5883810A | US7841539B2 | US20020120583A1 | US20080222047A1 | US20110153437A1 | US8019389B2 | US20100133334A1";29;13;"US20160239844A1";1;NA;"EN";"US20140379572A1 Alive | US9361647B2 Alive";"20100603US20100133334A1";580;807;"100.0";394;475;NA
"US9659294B2";2017;2010;2016;"T01 E |  T05 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Laracey Kevin,Natick,MA,US";"LARACEY K";1;"US";"B2";2017-05-23;"4049 Days , (11 Years, 1 Months)";"Alive";"05";2016-02-29;"02";"2010-04-09 | 2010-07-08 | 2010-07-30 | 2010-12-23 | 2011-12-23 | 2014-01-17";"04 | 07 | 07 | 12 | 12 | 01 | 04 | 07 | 07 | 12 | 12 | 01 | 02";"2010 | 2011 | 2014 | 2016";"US15057093A,2016-02-29 | US2010426731P,2010-12-23 | US2010362567P,2010-07-08 | US2010322477P,2010-04-09 | US14158240A,2014-01-17 | US13336574A,2011-12-23 | US2010846911A,2010-07-30";"G06F002133 | G06F002135 | G06F002136 | G06F002143 | G06Q002010 | G06Q002032 | G06Q002038 | G06Q002040 | G06Q004002 | G07F001900 | H04L002906 | H04W001206";"G06, G07, H04";"G06F0021, G06Q0020, G06Q0040, G07F0019, H04L0029, H04W0012";"G, H";"G06F, G06Q, G07F, H04L, H04W";"G06F002133, G06F002135, G06F002136, G06F002143, G06Q002010, G06Q002032, G06Q002038, G06Q002040, G06Q004002, G07F001900, H04L002906, H04W001206";"G06Q00203821 | G06F0021335 | G06F002135 | G06F002136 | G06F002143 | G06Q00201085 | G06Q00203223 | G06Q0020327 | G06Q00203274 | G06Q00203276 | G06Q002040145 | G06Q004002 | G07F001920 | G07F0019203 | G07F0019211 | H04L006318 | H04W001206 | H04W00120608 | H04W00120609 | G06F22212101 | G06F22212111 | G06F22212117 | G06F22212119";"G06Q00203821";"G06Q00201085 | G06Q00203821";"G06, G07, H04";"T01-J05A | T01-N01A1 | T01-S03 | T05-L02 | T05-L03C1 | W01-C01D3C";"US5739512A | US7040533B1 | US7483858B2 | US20070295805A1 | US20080034221A1 | US20110238573A1 | JP2003141402A | JP2008129787A | WO2012088512A2 | KR2010018744A | US20110251892A1 | US20120160912A1 | US20120187187A1 | EP2128809A1 | JP2008242828A | WO2008153096A1 | US20080048022A1 | US20110055084A1 | US20110066550A1 | US20130110654A1 | US20050203854A1 | US20060206709A1 | US20100017327A1 | US20100153272A1 | EP1264259A1 | JP2007034941A | JP2009080729A | WO2010035224A2 | WO2010125577A1 | US7379921B1 | US7992776B1 | US20030004737A1 | US20090254479A1 | US20100125510A1 | US20130110728A1 | US20160180307A1 | JP2002032686A | JP2002109421A | JP2005276023A | JP2006099713A | JP2006243842A | KR2011039946A | WO2001063546A1 | US20060105742A1 | US20130110717A1 | US20130110727A1 | JP2008217277A | KR2006084520A | KR100018744B1 | US8632000B2 | US20130124411A1 | JP2005157426A | JP2007299316A | JP2009276838A | US20080222048A1 | US20130110676A1 | US20130132234A1 | JP2004246536A | JP2004326348A | JP2006277715A";60;16;"US10504108B2 | US10614442B2 | US9911120B2";3;NA;"EN";"US20160180307A1 Alive | US9659294B2 Alive";"20111013CA2795766A1";581;1691;"100.0";689;881;345
"US10254801B2";2019;2013;2017;"T01 E |  T05 E";"PAYPAL INC.,San Jose,CA,US";"Voege Michael,San Jose,CA,US | Najafi Faran,San Jose,CA,US | Schulz Egan,San Jose,CA,US | Govindarajan Satish,San Jose,CA,US";"GOVINDARAJAN S | NAJAFI F | SCHULZ E | VOEGE M";4;"US";"B2";2019-04-09;"5328 Days , (14 Years, 7 Months)";"Alive";"04";2017-11-14;"11";"2013-12-27 | 2014-12-02";"12 | 12 | 12 | 12 | 11";"2013 | 2014 | 2017";"US15812584A,2017-11-14 | US2013921352P,2013-12-27 | US14558303A,2014-12-02";"G06F000116 | G06F000301 | G06F000303 | G06F00030346 | G06F00030481 | G06F00030482 | G06F00030484 | G06F00030487 | G06Q002032 | G06Q003002 | G06Q003006 | G07G000101 | G07G000112 | H04M000104";"G06, G07, H04";"G06F0001, G06F0003, G06Q0020, G06Q0030, G07G0001, H04M0001";"G, H";"G06F, G06Q, G07G, H04M";"G06F000116, G06F000301, G06F000303, G06F00030346, G06F00030481, G06F00030482, G06F00030484, G06F00030487, G06Q002032, G06Q003002, G06Q003006, G07G000101, G07G000112, H04M000104";"G06F0001166 | G06F00011626 | G06F00011686 | G06F0003017 | G06F000303 | G06F00030346 | G06F00030481 | G06F00030487 | G06Q0020322 | G06Q00300281 | G06Q00300643 | G07G000101 | G07G000112 | H04M000104 | G06F22001637";"G06F0001166";"G06F0001166";"G06, G07, H04";"T01-C02B | T01-J05A | T01-M06A1A | T01-S03 | T05-L01B | T05-L01D";"US9817446B2 | US8602304B2 | US8749960B2 | US20120153116A1 | US20080243626A1 | US20110270712A1 | US20120188689A1 | US20130058023A1 | US20140361130A1 | US9128668B2 | US9568955B2 | US20140279294A1 | US9105026B1 | US20030078857A1 | US20050240492A1 | US20100042484A1 | US20120023450A1 | US20130299668A1 | US20150185768A1 | US20140347000A1 | US6062478A | US8807333B1 | US9080716B2 | US20150095133A1 | US20130075280A1 | US20130282501A1";26;0;NA;0;NA;"EN";"US20180136694A1 Alive | US10254801B2 Alive";"20150702US20150185768A1";582;454;"100.0";394;412;247
"US10467616B2";2019;2016;2018;"T01 E |  T05 E";"PAYPAL INC.,San Jose,CA,US";"May Ryan Christopher,Elizabeth Bay,AU | Beyers Josh,San Jose,CA,US | Maniyar Vidit,San Jose,CA,US";"BEYERS J | MANIYAR V | MAY R C";3;"US";"B2";2019-11-05;"5904 Days , (16 Years, 1 Months)";"Alive";"11";2018-04-03;"04";"2016-06-30";"06 | 06 | 04";"2016 | 2018";"US15944144A,2018-04-03 | US15199165A,2016-06-30";"G06F002132 | G06Q002010 | G06Q002020 | G06Q002032 | G07G000100 | G07G000101";"G06, G07";"G06F0021, G06Q0020, G07G0001";"G";"G06F, G06Q, G07G";"G06F002132, G06Q002010, G06Q002020, G06Q002032, G07G000100, G07G000101";"G06Q00203224 | G06F002132 | G06Q0020102 | G06Q002020 | G06Q0020327 | G06Q00203272 | G07G00010036 | G07G000101";"G06Q00203224";"G06Q00203224";"G06, G07";"T01-J12C | T01-N01A1 | T01-N02A3C | T01-N02B1B | T05-L01D";"US7272562B2 | US20100145971A1 | US20120316953A1 | US9294476B1 | US20040143543A1 | US20070240046A1 | US20160012430A1 | US20170193480A1 | US6601762B2 | US20060212407A1 | US20080133368A1 | US5893902A | US6785367B2 | US7334735B1 | US20030191649A1 | US20150012278A1 | US20150046329A1 | US5794207A | US9042564B2 | US20020035474A1 | US20110106701A1 | US20140330659A1 | US20150287402A1 | US8817964B2 | US20100161446A1 | US20150081550A1 | US20020107816A1 | US20060166740A1 | US20080140421A1 | US20100217590A1 | US20110035294A1 | US20140344151A1 | US20150363757A1 | WO2012145354A1 | US6535854B2 | US6236972B1 | US20140291396A1";37;0;NA;0;NA;"EN";"US20180330358A1 Alive | US10467616B2 Alive";"20180104US20180005630A1";583;277;"100.0";394;381;302
"US10460310B2";2019;2015;2015;"T01 E";"PayPal Inc.,San Jose,CA,US";"Phipps Meghan Elizabeth,Baltimore,MD,US";"PHIPPS M E";1;"US";"B2";2019-10-29;"6585 Days , (18 Years)";"Alive";"10";2015-12-30;"12";"2015-12-30";"12 | 12";"2015";"US14984187A,2015-12-30";"G06Q002032 | G06Q003006 | H04L002908 | H04W000402 | H04W0004021 | H04W0004029 | H04W000421 | H04W000480";"G06, H04";"G06Q0020, G06Q0030, H04L0029, H04W0004";"G, H";"G06Q, H04L, H04W";"G06Q002032, G06Q003006, H04L002908, H04W000402, H04W0004021, H04W0004029, H04W000421, H04W000480";"G06Q00203224 | G06Q0020322 | G06Q003006 | G06Q00300631 | H04L006718 | H04W000402 | H04W0004021 | H04W0004029 | H04W000421 | H04W000480";"G06Q00203224";"G06Q00203224";"G06, H04";"T01-M06S | T01-N01A1 | T01-N02A3C";"US20120246004A1";1;0;NA;0;NA;"EN";"US20170193491A1 Alive | US10460310B2 Alive";"20170706US20170193491A1";584;277;"100.0";394;381;277
"US10163095B2";2018;2013;2013;"T01 E";"PAYPAL INC.,San Jose,CA,US";"Godsey Sandra Lynn,San Jose,CA,US";"GODSEY S L";1;"US";"B2";2018-12-25;"6167 Days , (16 Years, 10 Months)";"Alive";"12";2013-03-15;"03";"2013-03-15";"03 | 03";"2013";"US13834884A,2013-03-15";"G06Q002032";"G06";"G06Q0020";"G";"G06Q";"G06Q002032";"G06Q00203255";"G06Q00203255";"G06Q00203255";"G06";"T01-J05B4B | T01-M06S | T01-N01A1 | T01-N02A2C | T01-N02A3C | T01-N02B2B | T01-S03";"US20060160543A1 | US20120124676A1 | US20080095173A1 | US20130235739A1 | US20130290149A1 | US20110178897A1 | US20100106620A1 | US7409451B1 | US20130278492A1 | US20140222624A1 | US20110035793A1 | US20090245792A1";12;0;"US20170269920A1";1;NA;"EN";"US20140279125A1 Alive | US10163095B2 Alive";"20140918US20140279125A1";585;454;"100.0";542;537;274
"US10037082B2";2018;2013;2013;"T01 E |  W01 E |  W04 E";"PAYPAL INC.,San Jose,CA,US";"Schulz Egan,San Jose,CA,US | Serrano Michelle,San Jose,CA,US | Wotel Paul,San Jose,CA,US";"SCHULZ E | SERRANO M | WOTEL P";3;"US";"B2";2018-07-31;"5094 Days , (13 Years, 11 Months)";"Alive";"07";2013-09-17;"09";"2013-09-17";"09 | 09";"2013";"US14029456A,2013-09-17";"G06F000301 | G06Q002032 | G06Q002040";"G06";"G06F0003, G06Q0020";"G";"G06F, G06Q";"G06F000301, G06Q002032, G06Q002040";"G06F0003017 | G06Q002032 | G06Q002040145";"G06F0003017";"G06F0003017 | G06Q002040";"G06";"T01-C03C | T01-N01A1 | T01-N01B1 | T01-N01D1B | T01-N01D3 | T01-N02B1B | T01-S03 | W01-C01D3C | W01-C01G8 | W01-C01P2 | W04-E30A5 | W04-X02C";"US20150012426A1 | US20110189981A1 | US20130244575A1 | US20150073907A1";4;1;"US10291949B2 | US20180114333A1";2;NA;"EN";"US20150081544A1 Alive | US10037082B2 Alive";"20150319US20150081544A1";586;277;"100.0";2529;2192;331
"US10074086B2";2018;2010;2012;"T01 E";"PAYPAL INC.,San Jose,CA,US";"Granbery J. Hastings,Boston,MA,US | Metral Max,Brookline,MA,US";"GRANBERY J H | METRAL M";2;"US";"B2";2018-09-11;"3830 Days , (10 Years, 5 Months)";"Alive";"09";2012-01-30;"01";"2010-01-15 | 2010-10-26";"01 | 10 | 01 | 10 | 01";"2010 | 2012";"US13360941A,2012-01-30 | US2010295490P,2010-01-15 | US2010925619A,2010-10-26";"G06Q002010 | G06Q002020 | G06Q002032 | G06Q002040 | G06Q003006 | G06Q004000";"G06";"G06Q0020, G06Q0030, G06Q0040";"G";"G06Q";"G06Q002010, G06Q002020, G06Q002032, G06Q002040, G06Q003006, G06Q004000";"G06Q002032 | G06Q002010 | G06Q002020 | G06Q0020327 | G06Q002040 | G06Q003006 | G06Q00300601";"G06Q002032";"G06Q002032";"G06";"T01-N01A1 | T01-N01D3 | T01-N02A1B | T01-S03";"US7254560B2 | US20110082735A1 | US7483858B2 | WO2009152184A1 | WO1998034203A1 | US20080208739A1 | US8645213B2 | US20020065774A1 | US7349871B2 | US20100063889A1";10;7;NA;0;NA;"EN";"US20120130895A1 Alive | US10074086B2 Alive";"20110721US20110178883A1";587;1161;"100.0";1388;138;383
